order_id,date,country,product,units,unit_price,status,shipping
3001,2025-09-27,ES,Taza Yo <3 Data,2,12.0,paid,standard
3002,2025-09-27,FR,Calcetines con patitos,1,9.0,cancelled,express
3003,2025-09-28,ES,Portatil Modo Kaggle,1,640.0,paid,express
3004,2025-09-28,PT,USB-C Hub Por si acaso,3,29.9,paid,standard
3005,2025-09-28,IT,Monitor 27p 4K para plots,1,179.0,paid,standard
3006,2025-09-29,ES,Raton Click Feliz,4,15.0,paid,express
3007,2025-09-29,FR,Teclado RGB Hacker,1,24.0,paid,express
3008,2025-09-30,ES,Monitor 27p 4K para plots,1,185.0,paid,standard
3009,2025-09-30,DE,Taza Yo <3 Data,2,12.5,cancelled,standard
3010,2025-09-30,FR,Portatil Modo Kaggle,1,655.0,paid,express
3011,2025-10-01,ES,USB-C Hub Por si acaso,2,32.0,paid,standard
3012,2025-10-01,PT,Raton Click Feliz,3,14.5,paid,standard
3013,2025-10-01,IT,Taza Commit > Push > Pray,1,13.5,cancelled,express
3014,2025-10-01,ES,Portatil Modo Kaggle,1,645.0,paid,express
3015,2025-10-02,FR,Monitor 27p 4K para plots,1,175.0,paid,standard
3016,2025-10-02,ES,Teclado RGB Hacker,1,26.0,paid,standard
3017,2025-10-02,DE,Raton Click Feliz,2,15.0,paid,express
3018,2025-10-03,ES,Portatil Modo Kaggle,1,648.0,paid,express
3019,2025-10-03,PT,Monitor 27p 4K para plots,1,171.0,paid,standard
3020,2025-10-03,IT,Raton Click Feliz,5,14.0,paid,standard
3021,2025-10-04,ES,Teclado RGB Hacker,3,25.0,cancelled,express
3022,2025-10-04,FR,USB-C Hub Por si acaso,1,31.0,paid,standard
3023,2025-10-04,ES,Monitor 27p 4K para plots,1,182.0,paid,standard
3024,2025-10-05,DE,Portatil Modo Kaggle,1,660.0,paid,express
3025,2025-10-05,ES,Raton Click Feliz,2,15.0,paid,express
3026,2025-10-05,UK,Taza Yo <3 Data,2,12.0,paid,standard
3027,2025-10-06,ES,Raton Click Feliz,1,15.0,paid,standard
3028,2025-10-06,FR,Portatil Modo Kaggle,1,652.0,cancelled,express
3029,2025-10-06,PT,USB-C Hub Por si acaso,1,30.5,paid,standard
3030,2025-10-06,IT,Monitor 27p 4K para plots,1,176.0,paid,standard
